Dist,2018 Winner,Dem Votes,GOP Votes,Other Votes,Dem %,GOP %,Other %,Dem Margin,2016 Clinton Margin,Swing vs. 2016 Prez,Raw Votes vs. 2016
MO-03,Blaine Luetkemeyer (R),106589,211243,6776,32.8,65.1,2.1,-32.2,-39,6.8,85.7
MO-04,Vicky Hartzler (R),95968,190138,7210,32.7,64.8,2.5,-32.1,-35.8,3.7,86
MO-05,Emanuel Cleaver (D),175019,101069,7697,61.7,35.6,2.7,26.1,14.8,11.3,86.7
MO-06,Sam Graves (R),97660,199796,7953,32,65.4,2.6,-33.4,-32.3,-1.1,85.6
MO-07,Billy Long (R),89190,196343,10922,30.1,66.2,3.7,-36.1,-45.5,9.4,86.4
MO-08,Jason Smith (R),66151,194042,4206,25,73.4,1.6,-48.4,-54.2,5.8,83
MT-AL,Greg Gianforte (R),233284,256661,14476,46.2,50.9,2.9,-4.6,-20.4,15.8,101.5
NE-01,Jeff Fortenberry (R),93069,141712,0,39.6,60.4,0,-20.7,-20.7,0,83.1
NE-02,Don Bacon (R),121770,126715,0,49,51,0,-2,-2.2,0.2,85.2
NE-03,Adrian Smith (R),49654,163650,0,23.3,76.7,0,-53.4,-54.2,0.8,78.9
NV-01,Dina Titus (D),100707,46978,4516,66.2,30.9,3,35.3,29,6.3,77.3
NV-02,Mark Amodei (R),120102,167435,0,41.8,58.2,0,-16.5,-12.4,-4.1,88.2
NV-03,Susie Lee (D),148501,122566,15101,51.9,42.8,5.3,9.1,-1,10.1,87.9
NV-04,Steven Horsford (D),121962,102748,10158,51.9,43.7,4.3,8.2,4.9,3.3,84.8
NH-01,Chris Pappas (D),155891,131015,4160,53.6,45,1.4,8.5,-1.6,10.1,77.1
NH-02,Annie Kuster (D),154378,118670,6357,55.3,42.5,2.3,12.8,2.4,10.4,76.2
NJ-01,Donald Norcross (D),169628,87617,6173,64.4,33.3,2.3,31.1,24.5,6.6,80
NJ-02,Jeff Van Drew (D),136685,116866,4812,52.9,45.2,1.9,7.7,-4.6,12.3,80.5
NJ-03,Andy Kim (D),153473,149500,3902,50,48.7,1.3,1.3,-6.2,7.5,84
NJ-04,Chris Smith (R),126766,163065,4517,43.1,55.4,1.5,-12.3,-14.8,2.5,82.5
NJ-05,Josh Gottheimer (D),169546,128255,4022,56.2,42.5,1.3,13.7,-1.1,14.8,82.8
NJ-06,Frank Pallone (D),140752,80443,0,63.6,36.4,0,27.3,15.6,11.7,76.4
NJ-07,Tom Malinowski (D),166985,150785,4972,51.7,46.7,1.5,5,1.1,3.9,86.9
NJ-08,Albio Sires (D),119881,28725,4849,78.1,18.7,3.2,59.4,54.2,5.2,66.7
NJ-09,Bill Pascrell (D),140832,57854,1730,70.3,28.9,0.9,41.4,31.2,10.2,72.5
NJ-10,Donald Payne Jr. (D),175253,20191,4715,87.6,10.1,2.4,77.5,72.4,5.1,73
NJ-11,Mikie Sherrill (D),183684,136322,3568,56.8,42.1,1.1,14.6,-0.9,15.5,85
NJ-12,Bonnie Watson Coleman (D),173334,79041,0,68.7,31.3,0,37.4,33.2,4.2,80.2
